brand,model,device_category,price,rating,cpu_brand,cpu_family,cpu_series,cpu_model,cpu_suffix,cpu_core_count,cpu_thread_count,cpu_p_cores,cpu_e_cores,cpu_lp_e_cores,ram_gb,storage_gb,display_width_px,display_height_px,display_size_inch,gpu_brand,gpu_series,gpu_model,gpu_vram_gb,gpu_type,os_name,warranty_years
lenovo,Lenovo Legion Pro 5 16IAX10 83F3007CIN Gaming,Gaming,189990,84,Intel,Core Ultra,Core Ultra 7,255HX,HX,20,20,8,12,,32,1024,2560,1600,16,NVIDIA,GeForce RTX,RTX 5060,8,Dedicated,Windows,1
lenovo,Lenovo IdeaPad Slim 3 83K100HSIN,Thin & Light,62350,54,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,1024,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Vivobook Go 15 E1504FA-BQ2343WS,Thin & Light,34990,51,AMD,Ryzen,Ryzen 3,7320U,U,4,8,,,,16,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo V14 G3 82TS00JGUS,General,56990,48,Intel,Core,Core I7,1255U,U,10,12,2,8,,16,512,1920,1080,14,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
dell,Dell DC 14250 ODC1425000401RINS1,General,69990,52,Intel,Core,Core 5,120U,U,10,12,2,8,,16,512,1920,1080,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
dell,Dell 14 Inspiron 5440 (100UU / 16GB / 512GB / Windows),General,37800,50,Intel,Core,Core I3,100U,U,6,8,2,4,,16,512,1920,1080,14,,,,,,Windows,1
lenovo,Lenovo V14 G4 82YTA00UIN,General,29990,44,AMD,Ryzen,Ryzen 3,7320U,U,4,8,,,,8,512,1920,1080,14,AMD,Radeon,Radeon,,Integrated,Windows,1
acer,Acer TravelLite TL04-41M,General,33990,50,AMD,Ryzen,Ryzen 5,7430U,U,6,12,,,,8,512,1920,1080,14,AMD,Radeon,Radeon,,Integrated,Windows,1
hp,HP Victus 15-fa2303tx Gaming,Gaming,82999,69,Intel,Core,Core I5,14450HX,HX,10,16,6,4,,24,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
hp,HP Victus 15-fa1082wm Gaming,Gaming,79990,55,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,1
