model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,test_rmse,test_mae,test_r2
MLP_v2_feature_set_b,21932.94111938797,1615.1001550230583,13784.012662850122,811.3799601121966,0.8770540854881658,0.027499523778768662,17937.83603032341,12231.072114284885,0.9559363815475361
Ridge_feature_set_b,19892.260923861006,1097.2500368564833,12599.6740722766,609.6025579535535,0.8999731255084173,0.013237669817619105,18675.55152671381,12834.102468493544,0.9522375131702159
Ridge,20616.70826973702,772.3285543899268,13508.843119358713,480.3609212759083,0.8925350009994751,0.013535917203430973,18899.182942053096,13544.408958550035,0.9510867954763171
MLP_v2,22850.717876125585,1074.0054666811911,14938.99653501879,1047.128034816452,0.8676118339263841,0.020481661495522396,19750.219043297486,14299.907193755123,0.9465824590490457
MLP_v2_feature_set_b_no_rating,22350.969470097414,1672.6948110342657,13989.950000657253,909.909382595238,0.8720642954622553,0.029461517567444723,19807.768337109734,13773.205152762825,0.9462707034624029
Ridge_feature_set_b_no_rating,20155.720848007946,1059.48362966545,12549.13993412476,635.3319223820283,0.8973677739460795,0.013065146972859753,19851.97186376855,12829.056046299664,0.9460306285146112
RandomForest_feature_set_b,18226.628055867972,1485.2267082590524,10941.596124107245,882.489853421578,0.9152581523181322,0.01755680644623404,23586.179527256612,12630.23450162791,0.9238174933688789
RandomForest,18687.778203554946,1463.7153615167363,11374.81874167842,904.170831842612,0.9109436110143836,0.018086279663575153,23678.319670854526,12900.526212859631,0.9232211120875661
RandomForest_feature_set_b_no_rating,18200.873091057132,1296.293095011912,10700.557662935924,830.8480699091764,0.915508243552209,0.01708588463798984,23872.310760396922,12162.190306889426,0.9219578946273159
DummyRegressor,63407.58921141493,2744.891776860487,42614.173500221295,1820.671897245787,-0.008105669535170935,0.009222244536751602,86279.19118969254,53148.97413295987,-0.019417744475063614
MLP_v1,106240.5772868394,3623.991891527773,85346.86481056224,4548.265487893405,-1.8457019745106735,0.278036837804821,129456.74813198067,97251.30963482657,-1.2950357007839193
